Instance	ObjValue	RunTime(s)
5_20_1	1113	0.001
5_20_2	1433	0.001
5_20_3	2080	0.001
5_20_4	1921	0.001
5_20_5	1151	0.001
5_20_6	1019	0
5_20_7	2535	0.001
5_20_8	1654	0.001
5_20_9	1375	0
5_20_10	1031	0.001
5_40_1	2235	0.001
5_40_2	5195	0.001
5_40_3	5250	0.001
5_40_4	1637	0.001
5_40_5	4106	0.001
5_40_6	4539	0.001
5_40_7	3292	0.001
5_40_8	5159	0.001
5_40_9	7375	0.001
5_40_10	1089	0.001
5_60_1	2032	0.002
5_60_2	5468	0.002
5_60_3	1969	0.003
5_60_4	7280	0.001
5_60_5	4632	0.002
5_60_6	8628	0.001
5_60_7	6110	0.001
5_60_8	1629	0.001
5_60_9	7413	0.002
5_60_10	4805	0.002
5_80_1	17027	0.002
5_80_2	8361	0.002
5_80_3	14183	0.003
5_80_4	2381	0.002
5_80_5	7563	0.004
5_80_6	2465	0.002
5_80_7	4462	0.002
5_80_8	2930	0.003
5_80_9	4421	0.002
5_80_10	10191	0.001
5_100_1	11591	0.002
5_100_2	8406	0.002
5_100_3	4557	0.003
5_100_4	7006	0.003
5_100_5	7793	0.002
5_100_6	8385	0.003
5_100_7	7972	0.003
5_100_8	2362	0.002
5_100_9	9028	0.002
5_100_10	6130	0.003
10_20_1	4694	0.001
10_20_2	5518	0.002
10_20_3	2067	0.002
10_20_4	1553	0.001
10_20_5	3870	0
10_20_6	3739	0
10_20_7	2022	0.001
10_20_8	7270	0.001
10_20_9	2740	0.002
10_20_10	2285	0
10_40_1	3840	0.001
10_40_2	8499	0
10_40_3	12313	0
10_40_4	4072	0
10_40_5	7163	0.001
10_40_6	19061	0.001
10_40_7	1920	0
10_40_8	3850	0.001
10_40_9	13622	0.001
10_40_10	4665	0
10_60_1	4278	0.002
10_60_2	9858	0.001
10_60_3	14970	0.001
10_60_4	16575	0.002
10_60_5	2895	0.001
10_60_6	12093	0.001
10_60_7	6233	0.001
10_60_8	14480	0
10_60_9	8577	0.003
10_60_10	16687	0.001
10_80_1	8474	0.002
10_80_2	27413	0.002
10_80_3	6807	0.002
10_80_4	9349	0.002
10_80_5	8493	0.002
10_80_6	7412	0.002
10_80_7	27841	0.005
10_80_8	6921	0.001
10_80_9	27732	0.002
10_80_10	23353	0.002
10_100_1	21161	0.004
10_100_2	28614	0.003
10_100_3	20278	0.003
10_100_4	11499	0.003
10_100_5	34333	0.003
10_100_6	30922	0.002
10_100_7	6978	0.002
10_100_8	28050	0.004
10_100_9	10029	0.003
10_100_10	26678	0.003
15_20_1	9854	0.001
15_20_2	3592	0.001
15_20_3	6692	0
15_20_4	10848	0.001
15_20_5	9036	0.001
15_20_6	8474	0.001
15_20_7	2367	0.001
15_20_8	3003	0.001
15_20_9	8565	0.001
15_20_10	13682	0.001
15_40_1	4500	0.001
15_40_2	9325	0.002
15_40_3	22973	0.001
15_40_4	11008	0.001
15_40_5	14606	0
15_40_6	15476	0.001
15_40_7	27799	0.001
15_40_8	11934	0.001
15_40_9	20728	0.001
15_40_10	24884	0.001
15_60_1	17301	0.001
15_60_2	11742	0.002
15_60_3	15734	0.002
15_60_4	6826	0.001
15_60_5	7667	0.003
15_60_6	17161	0.002
15_60_7	43209	0.001
15_60_8	25880	0.001
15_60_9	5397	0.002
15_60_10	26923	0.001
15_80_1	27863	0.002
15_80_2	6811	0.002
15_80_3	34820	0.002
15_80_4	21271	0.003
15_80_5	20141	0.002
15_80_6	27595	0.002
15_80_7	36403	0.003
15_80_8	15133	0.003
15_80_9	47041	0.003
15_80_10	12784	0.003
15_100_1	71871	0.004
15_100_2	50385	0.002
15_100_3	22982	0.003
15_100_4	42005	0.006
15_100_5	45231	0.005
15_100_6	43723	0.004
15_100_7	57281	0.003
15_100_8	18231	0.003
15_100_9	27637	0.006
15_100_10	36990	0.003
