Instance	ObjValue	RunTime(s)
epsilon = 2
5_20_1	1085	0.021
5_20_2	1424	0.036
5_20_3	2039	0.032
5_20_4	1908	0.018
5_20_5	1141	0.016
5_20_6	1005	0.062
5_20_7	2511	0.012
5_20_8	1640	0.015
5_20_9	1354	0.043
5_20_10	1007	0.019
5_40_1	2227	0.151
5_40_2	5183	0.155
5_40_3	5218	0.132
5_40_4	1630	0.204
5_40_5	4081	0.128
5_40_6	4498	0.134
5_40_7	3288	0.11
5_40_8	5127	0.162
5_40_9	7346	0.108
5_40_10	1085	0.141
5_60_1	2027	0.529
5_60_2	5448	0.309
5_60_3	1962	0.247
5_60_4	7232	0.374
5_60_5	4614	0.32
5_60_6	8590	0.302
5_60_7	6098	0.346
5_60_8	1623	0.286
5_60_9	7397	0.262
5_60_10	4801	0.423
5_80_1	16997	1.089
5_80_2	8344	0.589
5_80_3	14135	0.714
5_80_4	2376	0.656
5_80_5	7535	0.766
5_80_6	2451	1.079
5_80_7	4453	0.714
5_80_8	2925	0.711
5_80_9	4418	0.705
5_80_10	10173	0.876
5_100_1	11557	1.306
5_100_2	8393	2.008
5_100_3	4552	1.118
5_100_4	6999	1.338
5_100_5	7780	1.359
5_100_6	8373	1.232
5_100_7	7963	1.183
5_100_8	2359	1.293
5_100_9	9006	1.468
5_100_10	6123	2.552
10_20_1	4676	0.042
10_20_2	5482	0.044
10_20_3	2050	0.014
10_20_4	1542	0.016
10_20_5	3840	0.022
10_20_6	3734	0.02
10_20_7	2009	0.049
10_20_8	7252	0.014
10_20_9	2694	0.01
10_20_10	2270	0.039
10_40_1	3809	0.067
10_40_2	8420	0.075
10_40_3	12263	0.06
10_40_4	4052	0.101
10_40_5	7131	0.085
10_40_6	18961	0.073
10_40_7	1902	0.071
10_40_8	3797	0.065
10_40_9	13582	0.111
10_40_10	4626	0.075
10_60_1	4278	0.241
10_60_2	9832	0.215
10_60_3	14845	0.212
10_60_4	16487	0.196
10_60_5	2883	0.221
10_60_6	12037	0.249
10_60_7	6212	0.226
10_60_8	14398	0.129
10_60_9	8551	0.631
10_60_10	16635	0.267
10_80_1	8455	0.624
10_80_2	27351	0.509
10_80_3	6791	0.725
10_80_4	9320	1.532
10_80_5	8469	0.475
10_80_6	7366	0.437
10_80_7	27779	0.54
10_80_8	6888	0.341
10_80_9	27644	0.502
10_80_10	23304	0.696
10_100_1	21097	0.831
10_100_2	28558	1.143
10_100_3	20193	0.668
10_100_4	11468	1.752
10_100_5	34253	0.725
10_100_6	30859	0.915
10_100_7	6957	0.803
10_100_8	28000	1.301
10_100_9	10006	0.895
10_100_10	26579	1.142
15_20_1	9742	0.013
15_20_2	3544	0.019
15_20_3	6662	0.044
15_20_4	10763	0.017
15_20_5	9022	0.039
15_20_6	8437	0.013
15_20_7	2340	0.015
15_20_8	2978	0.05
15_20_9	8534	0.045
15_20_10	13599	0.022
15_40_1	4482	0.114
15_40_2	9287	0.102
15_40_3	22901	0.072
15_40_4	10952	0.057
15_40_5	14545	0.045
15_40_6	15437	0.097
15_40_7	27711	0.076
15_40_8	11831	0.061
15_40_9	20643	0.079
15_40_10	24738	0.111
15_60_1	17221	0.125
15_60_2	11706	0.618
15_60_3	15658	0.476
15_60_4	6810	0.117
15_60_5	7647	0.177
15_60_6	17119	0.169
15_60_7	43166	0.158
15_60_8	25791	0.121
15_60_9	5364	0.327
15_60_10	26854	0.268
15_80_1	27796	0.467
15_80_2	6790	0.471
15_80_3	34696	0.475
15_80_4	21197	0.656
15_80_5	20110	0.462
15_80_6	27499	0.275
15_80_7	36338	0.883
15_80_8	15079	0.33
15_80_9	46953	0.581
15_80_10	12744	0.644
15_100_1	71673	0.535
15_100_2	50300	0.589
15_100_3	22938	0.739
15_100_4	41885	1.011
15_100_5	45187	1.32
15_100_6	43647	0.899
15_100_7	57252	1.057
15_100_8	18203	0.773
15_100_9	27529	0.849
15_100_10	36895	0.822
epsilon = 1
5_20_1	1079	0.268
5_20_2	1421	0.809
5_20_3	2025	0.478
5_20_4	1900	0.168
5_20_5	1133	0.152
5_20_6	1002	0.635
5_20_7	2505	0.095
5_20_8	1634	0.167
5_20_9	1351	0.289
5_20_10	1005	0.307
5_40_1	2223	6.919
5_40_2	5165	7.779
5_40_3	5212	5.92
5_40_4	1627	10.679
5_40_5	4076	5.41
5_40_6	4491	5.909
5_40_7	3284	4.268
5_40_8	5121	7.692
5_40_9	7338	3.587
5_40_10	1083	6.37
5_60_1	2025	40.588
5_60_2	5440	17.88
5_60_3	1960	12.862
5_60_4	7223	23.012
5_60_5	4610	18.749
5_60_6	8583	17.588
5_60_7	6091	22.901
5_60_8	1621	14.473
5_60_9	7391	15.181
5_60_10	4797	29.833
5_80_1	16989	105.354
5_80_2	8339	45.251
5_80_3	14126	56.064
5_80_4	2374	51.612
5_80_5	7527	64.067
5_80_6	2449	114.634
5_80_7	4450	59.606
5_80_8	2923	56.568
5_80_9	4415	56.246
5_80_10	10167	78.359
5_100_1	11549	126.356
5_100_2	8387	241.889
5_100_3	4550	103.945
5_100_4	6993	138.321
5_100_5	7776	130.566
5_100_6	8367	122.194
5_100_7	7956	112.52
5_100_8	2357	133.292
5_100_9	9000	153.162
5_100_10	6120	344.403
10_20_1	4662	0.977
10_20_2	5482	0.357
10_20_3	2040	0.145
10_20_4	1533	0.144
10_20_5	3819	0.133
10_20_6	3714	0.283
10_20_7	2007	0.253
10_20_8	7207	0.092
10_20_9	2676	0.095
10_20_10	2252	0.849
10_40_1	3803	1.712
10_40_2	8402	2.043
10_40_3	12223	1.417
10_40_4	4041	3.613
10_40_5	7119	2.661
10_40_6	18943	2.045
10_40_7	1899	1.941
10_40_8	3793	1.754
10_40_9	13548	4.085
10_40_10	4622	2.002
10_60_1	4274	11.63
10_60_2	9826	10.053
10_60_3	14815	9.424
10_60_4	16475	8.731
10_60_5	2881	10.503
10_60_6	12028	12.222
10_60_7	6208	9.76
10_60_8	14379	4.258
10_60_9	8535	48.272
10_60_10	16620	13.493
10_80_1	8453	43.921
10_80_2	27342	31.689
10_80_3	6786	49.66
10_80_4	9315	168.328
10_80_5	8463	26.484
10_80_6	7363	24.17
10_80_7	27768	33.891
10_80_8	6885	15.737
10_80_9	27633	31.003
10_80_10	23284	51.932
10_100_1	21090	54.829
10_100_2	28549	93.5
10_100_3	20187	42.011
10_100_4	11465	174.694
10_100_5	34233	48.304
10_100_6	30853	63.206
10_100_7	6955	52.898
10_100_8	27988	109.458
