Instance	OptimalValue	RunTime(s)	TotalGenerateStates	LB_RCprunningStates	LB_RCprunningRate(%)	LB_PDprunningStates	LB_PDprunningRate(%)	UB_BIupdateTimes	UB_BIupdateRate(%)	UB_BSupdateTimes	UB_BSupdateRate(%)
3_20_1	740	0.11	2	0	0	2	100	0	0	0	0
3_20_2	993	0.106	115	51	44.3478	15	13.0435	0	0	0	0
3_20_3	1552	0.114	2	0	0	2	100	0	0	0	0
3_20_4	1126	0.113	2	0	0	2	100	0	0	0	0
3_20_5	832	0.107	41	1	2.43902	21	51.2195	1	2.43902	0	0
3_20_6	555	0.113	2	0	0	2	100	0	0	0	0
3_20_7	854	0.136	2	0	0	2	100	0	0	0	0
3_20_8	991	0.113	2	0	0	2	100	0	0	0	0
3_20_9	626	0.117	2	0	0	2	100	0	0	0	0
3_20_10	376	0.121	336	197	58.631	16	4.7619	0	0	0	0
3_40_1	1701	0.138	2	0	0	2	100	0	0	0	0
3_40_2	1543	0.157	178	0	0	76	42.6966	0	0	2	1.1236
3_40_3	2875	0.143	44	0	0	21	47.7273	0	0	1	2.27273
3_40_4	1989	0.157	2	0	0	2	100	0	0	0	0
3_40_5	1952	0.137	2	0	0	2	100	0	0	0	0
3_40_6	2235	0.169	818	0	0	443	54.1565	1	0.122249	0	0
3_40_7	2102	0.138	159	0	0	76	47.7987	1	0.628931	1	0.628931
3_40_8	3086	0.199	1812	0	0	991	54.6909	2	0.110375	1	0.0551876
3_40_9	4805	0.169	942	0	0	420	44.586	1	0.106157	1	0.106157
3_40_10	677	0.151	2	0	0	2	100	0	0	0	0
3_60_1	2174	0.164	2	0	0	2	100	0	0	0	0
3_60_2	3753	0.157	2	0	0	2	100	0	0	0	0
3_60_3	883	0.165	2	0	0	2	100	0	0	0	0
3_60_4	4601	0.359	3366	7	0.207962	1476	43.8503	2	0.0594177	0	0
3_60_5	3308	0.156	2	0	0	2	100	0	0	0	0
3_60_6	5910	1.804	46687	13	0.027845	18110	38.7902	5	0.0107096	0	0
3_60_7	3434	1.825	32032	0	0	8757	27.3383	6	0.0187313	0	0
3_60_8	991	0.182	162	0	0	74	45.679	0	0	3	1.85185
3_60_9	2681	0.161	2	0	0	2	100	0	0	0	0
3_60_10	1603	0.164	2	0	0	2	100	0	0	0	0
3_80_1	7835	14.102	151809	0	0	38547	25.3918	14	0.00922211	0	0
3_80_2	4589	4.139	54433	0	0	22260	40.8943	3	0.00551136	0	0
3_80_3	7486	0.388	1691	0	0	769	45.476	4	0.236546	0	0
3_80_4	1695	0.2	2	0	0	2	100	0	0	0	0
3_80_5	4275	0.212	118	0	0	53	44.9153	0	0	4	3.38983
3_80_6	1701	19.62	221016	0	0	73698	33.3451	1	0.000452456	3	0.00135737
3_80_7	2868	0.185	2	0	0	2	100	0	0	0	0
3_80_8	2238	0.185	2	0	0	2	100	0	0	0	0
3_80_9	2848	0.186	2	0	0	2	100	0	0	0	0
3_80_10	5983	1.283	9481	0	0	3535	37.2851	2	0.0210948	5	0.0527371
3_100_1	9598	2.926	20206	38	0.188063	6864	33.9701	0	0	15	0.0742354
3_100_2	4283	0.369	650	0	0	252	38.7692	0	0	3	0.461538
3_100_3	1512	0.212	2	0	0	2	100	0	0	0	0
3_100_4	6616	0.298	392	0	0	173	44.1327	0	0	3	0.765306
3_100_5	3736	9.386	90593	0	0	31157	34.3923	1	0.00110384	0	0
3_100_6	6839	0.444	806	0	0	392	48.6352	2	0.248139	0	0
3_100_7	6481	14.58	98282	0	0	29701	30.2202	3	0.00305244	3	0.00305244
3_100_8	1532	0.531	1090	0	0	445	40.8257	0	0	1	0.0917431
3_100_9	8092	0.226	66	0	0	29	43.9394	0	0	1	1.51515
3_100_10	3593	0.217	2	0	0	2	100	0	0	0	0
4_20_1	1501	0.113	2	0	0	2	100	0	0	0	0
4_20_2	2026	0.111	2	0	0	2	100	0	0	0	0
4_20_3	804	0.109	2	0	0	2	100	0	0	0	0
4_20_4	710	0.119	2	0	0	2	100	0	0	0	0
4_20_5	1119	0.114	43	0	0	28	65.1163	1	2.32558	0	0
4_20_6	988	0.111	2	0	0	2	100	0	0	0	0
4_20_7	832	0.115	2	0	0	2	100	0	0	0	0
4_20_8	2793	0.12	806	59	7.3201	475	58.933	3	0.372208	0	0
4_20_9	1477	0.135	9835	3166	32.1912	2024	20.5796	0	0	0	0
4_20_10	1305	0.12	2	0	0	2	100	0	0	0	0
4_40_1	1427	0.162	2	0	0	2	100	0	0	0	0
4_40_2	5031	0.198	1728	0	0	839	48.5532	3	0.173611	0	0
4_40_3	5713	0.126	2	0	0	2	100	0	0	0	0
4_40_4	795	0.149	2	0	0	2	100	0	0	0	0
4_40_5	3021	0.14	2	0	0	2	100	0	0	0	0
4_40_6	4054	0.145	2	0	0	2	100	0	0	0	0
4_40_7	1189	0.144	2	0	0	2	100	0	0	0	0
4_40_8	1688	0.184	1070	0	0	684	63.9252	2	0.186916	0	0
4_40_9	3283	0.579	15038	0	0	5147	34.2266	9	0.0598484	2	0.0132996
4_40_10	2189	0.14	22	0	0	11	50	0	0	2	9.09091
4_60_1	2163	0.167	2	0	0	2	100	0	0	0	0
