Instance	OptimalValue	RunTime(s)	TotalGenerateStates
3_20_1	740	0.031	357214
3_20_2	993	0.009	73643
3_20_3	1552	0.024	333359
3_20_4	1126	0.044	653810
3_20_5	832	0.022	334810
3_20_6	555	0.004	66484
3_20_7	854	0.014	210415
3_20_8	991	0.025	300214
3_20_9	626	0.028	384746
3_20_10	376	0.024	334479
3_40_1	1701	0.447	6038241
3_40_2	1543	0.426	5920733
3_40_3	2875	1.243	17054508
3_40_4	1989	0.607	8201801
3_40_5	1952	1.258	17053678
3_40_6	2235	1.561	21513677
3_40_7	2102	0.951	12500444
3_40_8	3086	2.157	27355929
3_40_9	4805	0.947	12828109
3_40_10	677	0.294	4027307
3_60_1	2174	5.662	72584772
3_60_2	3753	4.154	52834139
3_60_3	883	3.07	40285974
3_60_4	4601	2.784	35935124
3_60_5	3308	4.502	56680351
3_60_6	5910	2.764	34877105
3_60_7	3434	4.222	54364961
3_60_8	991	4.411	58309886
3_60_9	2681	2.725	36260542
3_60_10	1603	5.709	74743020
3_80_1	7835	17.305	216812500
3_80_2	4589	10.586	135167869
3_80_3	7486	13.164	166222148
3_80_4	1695	8.221	105261115
3_80_5	4275	14.209	180514107
3_80_6	1701	11.736	150938541
3_80_7	2868	16.791	211151469
3_80_8	2238	9.561	120054696
3_80_9	2848	12.762	162909406
3_80_10	5983	14.889	184490454
3_100_1	9598	40.444	490458273
3_100_2	4283	44.821	551503881
3_100_3	1512	20.722	260523772
3_100_4	6616	20.416	255710301
3_100_5	3736	37.78	463329817
3_100_6	6839	25.685	313999451
3_100_7	6481	38.871	475348547
3_100_8	1532	22.522	286591911
3_100_9	8092	34.527	418782473
3_100_10	3593	13.877	168378670
4_20_1	1501	0.73	8677341
4_20_2	2026	0.295	3519964
4_20_3	804	0.184	2240175
4_20_4	710	0.475	5735360
4_20_5	1119	0.215	2524080
4_20_6	988	0.325	4087696
4_20_7	832	0.249	2870405
4_20_8	2793	0.61	7313996
4_20_9	1477	0.248	3022771
4_20_10	1305	0.145	1814128
4_40_1	1427	15.297	168712559
4_40_2	5031	20.419	226699974
4_40_3	5713	10.211	110985346
4_40_4	795	32.679	351296582
4_40_5	3021	24.781	261390789
4_40_6	4054	14.694	159232996
4_40_7	1189	19.003	207548862
4_40_8	1688	28.236	314550521
4_40_9	3283	13.022	145037592
4_40_10	2189	46.184	498114864
4_60_1	2163	166.389	1758503599
4_60_2	3859	283.442	2918647255
4_60_3	6370	114.045	1172333789
4_60_4	4631	290.58	3027967740
4_60_5	2297	143.047	1498009375
4_60_6	3953	144.118	1508760033
4_60_7	1899	134.663	1399380027
4_60_8	7868	46.909	491710540
4_60_9	4604	196.086	1996084019
4_60_10	5560	144.533	1494955223
4_80_1	3344	1602.92	7122070091
4_80_2	10722	1076.64	9511011659
4_80_3	4083	1659.19	8029454862
4_80_4	4717	257.022	2562429159
4_80_5	-1	3939.08	9779756807
4_80_6	4666	414.642	4156792856
4_80_7	4772	771.855	8017361890
4_80_8	2661	736.458	7521719297
4_80_9	5231	1245.56	12686927283
4_80_10	8527	474.187	4937945019
4_100_1	-1	5674.61	7298048549
4_100_2	-1	17709.7	4837845724
4_100_3	-1	3629.06	11330461174
4_100_4	-1	3657.99	6603411862
4_100_5	-1	4104.14	10394790693
4_100_6	-1	3652.91	7646523000
4_100_7	-1	3682.12	12803493690
4_100_8	-1	3636.22	8196514741
4_100_9	-2	80.464	882167238
4_100_10	-2	114.758	1286337314
5_20_1	2946	30.155	317656610
5_20_2	2042	2.903	32059847
5_20_3	2587	4.145	45505579
5_20_4	4830	0.489	5680480
5_20_5	3973	0.182	2210550
5_20_6	1528	1.868	21015013
5_20_7	1036	17.314	192372608
5_20_8	1370	0.512	6124309
5_20_9	1706	5.255	57359115
5_20_10	2835	1.106	12582310
5_40_1	-2	65.796	692731411
5_40_2	-2	65.65	693820171
5_40_3	-2	86.194	892269909
5_40_4	-2	42.775	449294984
5_40_5	-2	58.809	630215197
5_40_6	7255	44.933	448392191
5_40_7	-2	106.689	1072159069
5_40_8	-2	94.698	964349687
5_40_9	-2	59.546	624710509
5_40_10	3849	14.742	163853470
5_60_1	-2	126.34	1407327618
5_60_2	-2	122.341	1314699793
5_60_3	-2	111.583	1211479113
5_60_4	-2	63.518	674152318
5_60_5	-2	178.239	1967327927
5_60_6	-2	79.196	864051959
5_60_7	-2	164.204	1829927216
5_60_8	-2	120.012	1334373135
5_60_9	-2	128.648	1399264045
5_60_10	-2	121.965	1331199891
5_80_1	-2	144.668	1531815603
5_80_2	-2	422.81	4556931150
5_80_3	-2	282.703	3074700744
5_80_4	-2	144.689	1548140324
5_80_5	-2	156.457	1695319247
5_80_6	-2	143.292	1598983463
5_80_7	-2	97.537	1104393836
5_80_8	-2	431.94	4378479146
5_80_9	-2	313.074	3226412036
5_80_10	-2	272.78	2756891898
5_100_1	-2	148.978	1517632806
5_100_2	-2	194.876	1991454275
5_100_3	-2	266.613	2717620759
5_100_4	-2	163.505	1676835446
5_100_5	-2	101.654	1039432372
5_100_6	-2	160.069	1688444536
5_100_7	-2	295.4	3066122150
5_100_8	-2	258.447	2615854078
5_100_9	-2	270.22	2763514478
5_100_10	-2	292.413	3057493246
