Instance	upper_bound	Lower_bound	RunTime(s)
3_20_1	740	740	0.1
3_20_2	993	993	0.056
3_20_3	1552	1552	0.072
3_20_4	1126	1126	0.123
3_20_5	832	832	0.056
3_20_6	555	555	0.043
3_20_7	854	854	0.104
3_20_8	991	991	0.058
3_20_9	626	626	0.07
3_20_10	376	376	0.051
3_40_1	1701	1701	0.081
3_40_2	1543	1543	0.374
3_40_3	2875	2875	7.916
3_40_4	1989	1989	0.137
3_40_5	1952	1952	94.954
3_40_6	2235	2235	110.532
3_40_7	2102	2102	0.165
3_40_8	3086	3086	67.47
3_40_9	4805	4805	1.589
3_40_10	677	677	0.058
3_60_1	2174	2174	43.539
3_60_2	3753	3753	69.409
3_60_3	883	883	165.104
3_60_4	4601	4601	5.104
3_60_5	3308	3308	41.826
3_60_6	5910	5910	7.376
3_60_7	3434	3434	222.582
3_60_8	991	991	7.2
3_60_9	2681	2681	8.102
3_60_10	1603	1575	300.702
3_80_1	7835	7719	300.821
3_80_2	4589	4491.5	300.83
3_80_3	7486	7460	300.424
3_80_4	1695	1691	300.335
3_80_5	4275	4144	300.895
3_80_6	1701	1674.5	300.879
3_80_7	2868	2812	300.927
3_80_8	2238	2238	257.886
3_80_9	2848	2795.5	300.95
3_80_10	5983	5983	158.378
3_100_1	9598	9489	300.848
3_100_2	4283	4091	300.964
3_100_3	1512	1468	300.97
3_100_4	6616	6532	301.175
3_100_5	3736	3624	301.026
3_100_6	6839	6793	300.898
3_100_7	6481	6263.5	301.084
3_100_8	1532	1496	301.009
3_100_9	8092	7988	301.182
3_100_10	3593	3593	43.258
4_20_1	1501	1501	0.328
4_20_2	2026	2026	0.08
4_20_3	804	804	0.065
4_20_4	710	710	0.279
4_20_5	1119	1119	0.156
4_20_6	988	988	4.165
4_20_7	832	832	0.046
4_20_8	2793	2793	0.197
4_20_9	1477	1477	1.302
4_20_10	1305	1305	0.873
4_40_1	1427	1427	7.385
4_40_2	5031	5031	69.337
4_40_3	5713	5713	28.757
4_40_4	795	795	108.347
4_40_5	3021	3021	7.15
4_40_6	4054	4054	176.022
4_40_7	1189	1189	89.219
4_40_8	1688	1637.17	301.207
4_40_9	3283	3283	11.27
4_40_10	2189	2182	300.513
4_60_1	2163	2070.5	301.32
4_60_2	3859	3719.5	301.441
4_60_3	6370	6290	300.972
4_60_4	4631	4356.25	301.335
4_60_5	2297	2202.67	301.544
4_60_6	3953	3511	301.402
4_60_7	1899	1837.67	301.216
4_60_8	7868	7868	34.215
4_60_9	4604	4553	301.303
4_60_10	5560	5437	301.277
4_80_1	3344	3304.83	301.276
4_80_2	10722	10393.5	301.336
4_80_3	4083	3954.33	301.393
4_80_4	4717	4545	301.363
4_80_5	1639	1497	301.288
4_80_6	4666	4482	301.566
4_80_7	4772	4083.83	301.396
4_80_8	2661	2544.5	301.376
4_80_9	5231	4637	301.551
4_80_10	8527	8106.5	301.336
4_100_1	9196	8748.83	301.372
4_100_2	13286	12719	301.327
4_100_3	9814	9213	301.352
4_100_4	6383	6186.33	301.212
4_100_5	9130	8346.25	301.357
4_100_6	7327	6718	301.458
4_100_7	3655	3510.92	301.495
4_100_8	7972	7483.33	301.479
4_100_9	6380	6161.5	301.534
4_100_10	6832	6288.5	301.486
5_20_1	2946	2946	203.301
5_20_2	2042	2042	0.957
5_20_3	2587	2587	4.198
5_20_4	4830	4830	0.053
5_20_5	3973	3973	0.135
5_20_6	1528	1528	5.084
5_20_7	1036	1036	280.105
5_20_8	1370	1370	0.705
5_20_9	1706	1706	1.873
5_20_10	2835	2835	1.682
5_40_1	1670	1631.67	301.689
5_40_2	4197	4173	301.618
5_40_3	3693	3654	301.587
5_40_4	4220	4163	302.232
5_40_5	2937	2838.33	301.916
5_40_6	7255	7255	32.457
5_40_7	8887	8638.17	301.993
5_40_8	5878	5852	300.841
5_40_9	5796	5796	3.157
5_40_10	3849	3736.5	302.285
5_60_1	5117	4400.67	301.641
5_60_2	3193	2947	301.68
5_60_3	4955	4600.83	301.868
5_60_4	1314	1212	301.76
5_60_5	1449	1223.67	301.559
5_60_6	8293	8034.67	301.886
5_60_7	7046	6465	301.952
5_60_8	7690	7263.67	301.889
5_60_9	2961	2867.75	301.69
5_60_10	8703	8413.33	302.105
5_80_1	7301	6709	301.917
5_80_2	3050	2721.67	301.78
5_80_3	7156	6639.33	301.807
5_80_4	8003	7622.67	301.936
5_80_5	6695	6311	302.067
5_80_6	7357	6824.67	301.916
5_80_7	11913	11483.5	302.132
5_80_8	7520	7173	302.125
5_80_9	7476	6819	301.717
5_80_10	6885	6799.83	302.261
5_100_1	12262	11392.8	302.051
5_100_2	13257	12410.5	301.921
5_100_3	5471	5148.17	301.927
5_100_4	15175	14255.5	301.701
5_100_5	8131	7513	301.848
5_100_6	10507	9226	302.008
5_100_7	10274	8627	301.92
5_100_8	4195	3732	301.833
5_100_9	16464	15314.5	301.84
5_100_10	13095	11931.7	301.894
